ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length,day_of_the_week,month
04B867774A06E611,classic_bike,39:54.6,15:02.5,Pine Grove Ave & Waveland Ave,CHI00354,DuSable Lake Shore Dr & North Blvd,CHI00525,41.9495,-87.6465,41.9117,-87.6268,casual,0:35:08,4,7
58E6411BD588C682,electric_bike,18:56.3,31:23.8,Damen Ave & Division St,CHI00318,Racine Ave & Wrightwood Ave,CHI00506,41.9033,-87.6784,41.9289,-87.659,casual,0:12:27,3,7
A1CD9CD1B74B6407,classic_bike,27:37.8,47:44.6,Millennium Park,CHI01742,DuSable Lake Shore Dr & North Blvd,CHI00525,41.881,-87.6241,41.9117,-87.6268,member,0:20:07,4,7
53148E7374976C85,classic_bike,24:01.3,39:03.3,State St & Pearson St,CHI00271,DuSable Lake Shore Dr & North Blvd,CHI00525,41.8974,-87.6287,41.9117,-87.6268,member,0:15:02,4,7
A4D17FD7550E4771,electric_bike,55:38.5,03:18.2,State St & Pearson St,CHI00271,DuSable Lake Shore Dr & North Blvd,CHI00525,41.8974,-87.6287,41.9117,-87.6268,member,0:07:40,5,7
76F75FB1A73C1FA2,electric_bike,09:29.6,16:04.2,Clark St & Chicago Ave,CHI00351,LaSalle St & Adams St Corral,CHI00963,41.8968,-87.6309,41.8794,-87.6321,member,0:06:35,2,7
5077B01C87E9A0A9,classic_bike,13:16.4,09:29.4,State St & 33rd St,CHI00223,McCormick Place,CHI00607,41.8347,-87.6258,41.8514,-87.6188,member,0:56:13,2,7
358DB967DD526F12,classic_bike,42:43.2,57:13.0,Clark St & Chicago Ave,CHI00351,Green St & Lake St ,CHI02081,41.8968,-87.6309,41.8856,-87.6484,member,0:14:30,6,7
D7C7C02490730CD1,electric_bike,47:54.7,53:22.1,Columbus Dr & Randolph St,CHI00345,Daley Center Plaza,CHI00253,41.8847,-87.6195,41.8842,-87.6296,member,0:05:27,6,7
C012639486FC4C7E,electric_bike,09:20.0,11:48.4,Pine Grove Ave & Waveland Ave,CHI00354,Pine Grove Ave & Irving Park Rd,CHI00482,41.9495,-87.6465,41.9544,-87.6479,member,0:02:28,1,7
E8369E6597850021,classic_bike,48:35.1,08:24.1,Broadway & Sheridan Rd,CHI00476,Sheridan Rd & Argyle St,CHI00270,41.9528,-87.65,41.9733,-87.6548,casual,0:19:49,4,7
23CE5B8F212D2298,electric_bike,22:10.8,26:29.9,Public Rack - Jonathan Y Scammon Public School,CHI01285,Avondale Ave & Irving Park Rd,CHI00215,41.9416,-87.7324,41.9534,-87.732,casual,0:04:19,6,7
D2013997C6892B73,electric_bike,10:38.8,15:58.5,Public Rack - Jonathan Y Scammon Public School,CHI01285,Avondale Ave & Irving Park Rd,CHI00215,41.9416,-87.7324,41.9534,-87.732,casual,0:05:20,4,7
E0DF9B6C64F56E6B,classic_bike,09:52.3,14:51.0,Broadway & Sheridan Rd,CHI00476,Broadway & Cornelia Ave,CHI00430,41.9528,-87.65,41.9455,-87.6464,casual,0:04:59,1,7
87117D2F8CDB4845,classic_bike,46:02.3,04:08.6,Theater on the Lake,CHI00420,Broadway & Cornelia Ave,CHI00430,41.9263,-87.6308,41.9455,-87.6464,casual,0:18:06,6,7
4CE254B99974446D,electric_bike,25:01.9,20:57.9,Millennium Park,CHI01742,Wabash Ave & Wacker Pl,CHI00416,41.881,-87.6241,41.8869,-87.626,casual,0:55:56,1,7
030B746062ECCDFE,classic_bike,15:09.4,21:38.9,Broadway & Sheridan Rd,CHI00476,Broadway & Cornelia Ave,CHI00430,41.9528,-87.65,41.9455,-87.6464,member,0:06:29,7,7
FC8B60B9CC19152D,classic_bike,29:00.2,49:28.7,Millennium Park,CHI01742,Griffin Museum of Science and Industry,CHI00574,41.881,-87.6241,41.7917,-87.5839,casual,1:20:28,5,7
